Target Material,PMT cvg,R_PMT (mm),EBin (e+ MeV),ZBin (mm),RhoBin (mm),Resn X (mm),Resn X 1sigma (mm),Resn Y (mm),Resn Y 1sigma (mm),Resn Z (mm),Resn Z 1sigma (mm),Drift X (mm),Drift X 1sigma (mm),Drift Y (mm),Drift Y 1sigma (mm),Drift Z (mm),Drift Z 1sigma (mm)
WbLS_3pct,0.2,6700,0.5,-6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,-6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,-6000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,-6000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,-6000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,-3000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,-3000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,-3000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,-3000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,-3000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,0,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,0,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,0,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,0,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,0,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,3000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,3000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,3000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,3000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,3000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,6000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,6000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,0.5,6000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,-6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,-6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,-6000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,-6000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,-6000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,-3000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,-3000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,-3000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,-3000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,-3000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,0,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,0,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,0,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,0,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,0,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,3000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,3000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,3000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,3000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,3000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,6000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,6000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1,6000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,-6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,-6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,-6000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,-6000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,-6000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,-3000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,-3000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,-3000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,-3000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,-3000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,0,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,0,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,0,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,0,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,0,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,3000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,3000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,3000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,3000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,3000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,6000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,6000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,1.5,6000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,-6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,-6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,-6000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,-6000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,-6000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,-3000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,-3000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,-3000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,-3000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,-3000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,0,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,0,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,0,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,0,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,0,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,3000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,3000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,3000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,3000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,3000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,6000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,6000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2,6000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,-6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,-6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,-6000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,-6000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,-6000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,-3000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,-3000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,-3000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,-3000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,-3000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,0,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,0,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,0,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,0,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,0,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,3000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,3000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,3000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,3000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,3000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,6000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,6000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,2.5,6000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,-6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,-6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,-6000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,-6000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,-6000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,-3000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,-3000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,-3000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,-3000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,-3000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,0,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,0,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,0,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,0,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,0,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,3000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,3000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,3000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,3000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,3000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,6000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,6000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3,6000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,-6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,-6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,-6000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,-6000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,-6000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,-3000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,-3000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,-3000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,-3000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,-3000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,0,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,0,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,0,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,0,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,0,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,3000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,3000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,3000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,3000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,3000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,6000,0,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,6000,3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,3.5,6000,6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,4,-6000,-6000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,4,-6000,-3000,,,,,,,,,,,,
WbLS_3pct,0.2,6700,4,-6000,0,,,,,,,,,,,,
