energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,798.463,28.4383,757.753,28.6195,1032.83,37.8207,0.734713,0.0257719,36.0218,9.31447,
0.75,1000,3000,931.308,19.3265,882.97,18.9123,970.161,20.5413,0.743746,0.0137769,35.5334,9.40618,
0.75,1000,5000,883.864,16.3781,950.479,16.752,925.279,14.7544,0.740513,0.0100959,36.4009,9.376,
0.75,1000,7000,813.529,13.1629,804.273,13.2031,773.562,11.7288,0.690337,0.00763445,36.4176,9.54766,
0.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,1000,814.814,90.2277,1046.01,138.855,1146.26,148.488,1.16432,0.257014,36.8262,9.65988,
0.75,3000,3000,777.606,39.4627,914.962,43.3626,990.804,46.2156,0.741124,0.0376945,35.2263,8.93795,
0.75,3000,5000,954.32,39.7162,959.334,36.5951,924.598,32.1146,0.768054,0.0275336,36.2198,9.39965,
0.75,3000,7000,804.827,21.8012,840.494,24.067,1019.96,39.333,0.761311,0.0247792,36.1818,9.47966,
0.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,1000,1030.51,122.285,1029.2,185.651,1152.34,189.654,1.07542,0.216932,36.1463,10.6476,
0.75,5000,3000,858.507,42.7136,888.708,49.8344,1139.56,68.1859,0.759813,0.0436358,36.1722,9.3595,
0.75,5000,5000,930.217,37.1157,1008.03,46.2594,1059.29,36.5967,0.735795,0.025212,36.1527,9.86144,
0.75,5000,7000,888.283,29.918,999.418,30.8994,1234.54,47.144,0.771916,0.0292863,36.6375,9.03736,
0.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,1000,917.52,124.54,756.722,121.239,640.893,65.7709,1.00507,0.19428,36.7578,9.88996,
0.75,7000,3000,795.599,54.7584,684.132,46.0617,696.644,38.6548,0.799902,0.0488275,37.1714,9.15158,
0.75,7000,5000,791.22,32.1853,830.559,44.5846,603.02,23.6735,0.751437,0.0303831,37.0564,9.53105,
0.75,7000,7000,830.697,30.6115,888.508,40.352,595.686,23.9202,0.719498,0.0232576,37.3841,9.4548,
0.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,1000,1000,616.422,18.2981,598.388,15.5152,714.929,23.2231,0.749728,0.0264654,58.5377,11.0952,
1.25,1000,3000,598.455,10.7323,613.597,10.2838,732.944,12.0161,0.715512,0.0119567,59.0449,11.5481,
1.25,1000,5000,644.58,8.78888,624.401,9.187,687.237,8.67065,0.718341,0.00908158,59.9442,11.3034,
1.25,1000,7000,567.653,8.00347,573.64,8.19049,557.572,6.69132,0.741548,0.00938139,60.369,11.517,
1.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,3000,1000,584.345,42.5702,560.066,54.2142,676.393,51.256,0.887276,0.136293,57.4371,11.5781,
1.25,3000,3000,579.983,21.8304,521.256,24.0205,635.673,22.851,0.769985,0.0382884,59.1522,11.6216,
1.25,3000,5000,595.577,17.7845,593.546,17.1686,644.813,18.4829,0.720353,0.0219316,59.6939,11.2372,
1.25,3000,7000,602.806,19.4424,644.242,19.5704,688.883,24.7064,0.766592,0.0233204,59.5327,11.289,
1.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,5000,1000,558.5,54.3658,587.701,46.1927,740.604,84.76,1.01031,0.175396,59.163,10.4792,
1.25,5000,3000,547.847,20.9149,585.694,25.6836,720.492,32.015,0.790593,0.0422882,59.2879,11.8946,
1.25,5000,5000,659.245,20.8151,683.524,25.8596,858.864,33.1539,0.755277,0.0298324,59.1716,11.4604,
1.25,5000,7000,698.395,22.4707,693.634,20.668,1071.46,38.7557,0.758111,0.0228056,60.491,11.5437,
1.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,7000,1000,382.53,35.3277,408.477,48.7714,476.885,39.4026,1.15922,0.276974,58.5095,10.7322,
1.25,7000,3000,623.458,34.0871,479.733,19.8671,538.809,24.3377,0.91031,0.0755148,59.7673,11.1946,
1.25,7000,5000,583.569,25.1559,567.44,21.1985,563.191,19.3704,0.688066,0.0239532,60.3495,12.0957,
1.25,7000,7000,515.151,20.3319,561.289,19.8741,560.899,20.0052,0.739759,0.0258584,60.4333,11.6282,
1.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,1000,1000,483.435,13.4259,474.27,15.3041,612.421,16.4287,0.72589,0.0241245,82.2835,13.0041,
1.75,1000,3000,487.2,7.55526,509.166,8.51011,609.929,9.18091,0.700363,0.0114699,83.7793,12.8753,
1.75,1000,5000,518.081,6.43661,530.035,6.92945,562.251,6.76336,0.745728,0.0106196,84.8421,13.1465,
1.75,1000,7000,469.341,6.39912,473.91,6.23982,467.751,5.53308,0.70719,0.00806309,85.2935,13.426,
1.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,3000,1000,406.333,27.0448,516.135,46.8207,523.8,46.0753,1.13237,0.241116,83.283,11.9594,
1.75,3000,3000,481.839,17.0997,453.556,17.4349,487.682,16.0752,0.82846,0.0513693,83.5321,13.6391,
1.75,3000,5000,518.161,13.6724,533.365,15.0843,540.967,15.3772,0.711171,0.0254183,84.8321,12.6653,
1.75,3000,7000,550.071,17.5575,517.784,14.5665,564.066,17.8779,0.726793,0.021021,84.8527,13.1894,
1.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,5000,1000,457.998,32.096,442.791,42.6698,622.703,63.8525,1.21062,0.255653,82.1567,12.9527,
1.75,5000,3000,480.934,20.0343,476.18,17.278,564.125,22.3291,0.832425,0.0457501,84.3109,13.2247,
1.75,5000,5000,523.972,16.9343,529.729,17.6371,673.648,24.8237,0.761917,0.0277445,86.5944,13.8649,
1.75,5000,7000,548.307,18.4966,519.382,15.4376,714.891,29.6392,0.736647,0.0221014,85.216,13.3946,
1.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,7000,1000,487.538,47.3708,353.952,35.8647,477.259,47.6209,1.22614,0.329789,85.1723,14.2225,
1.75,7000,3000,401.592,19.4178,424.349,18.3032,480.154,20.6239,0.783293,0.0534941,85.0223,13.9279,
1.75,7000,5000,480.23,18.0217,456.777,21.8398,461.96,15.3715,0.775708,0.0314172,85.901,13.7337,
1.75,7000,7000,441.078,14.4901,428.866,13.1846,470.479,17.1126,0.743474,0.0257124,85.0951,13.2368,
1.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
1.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,1000,1000,449.045,12.9215,429.494,12.6081,558.144,14.9986,0.725643,0.0257034,108.388,14.607,
2.25,1000,3000,453.982,7.19561,441.844,7.13291,546.575,8.05078,0.695646,0.0111522,109.47,15.3211,
2.25,1000,5000,464.76,5.79207,458.678,5.32319,498.382,5.88628,0.721824,0.00952068,110.586,14.9902,
2.25,1000,7000,429.904,5.65734,426.592,5.65932,411.162,4.8604,0.720017,0.00853222,110.996,15.3274,
2.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,3000,1000,316.781,30.1347,414.056,29.7858,507.421,42.5689,1.12073,0.220204,108.908,14.528,
2.25,3000,3000,436.6,16.1222,421.036,13.7543,502.668,18.217,0.813991,0.0483714,108.03,14.4878,
2.25,3000,5000,483.427,12.939,475.405,13.4451,494.746,13.4467,0.782705,0.028234,109.767,15.512,
2.25,3000,7000,452.828,13.5368,441.786,12.5233,439.411,12.2771,0.723326,0.0206759,111.245,15.2147,
2.25,3000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,5000,1000,404.512,37.4996,388.344,28.2657,527.783,43.6594,1.31027,0.411204,109.183,14.8302,
2.25,5000,3000,427.547,15.8723,441.265,14.1751,508.51,19.858,0.752441,0.0361697,109.113,14.8541,
2.25,5000,5000,443.002,12.34,471.136,12.1266,482.353,16.2212,0.737963,0.024027,110.934,15.2771,
2.25,5000,7000,469.59,15.3372,453.946,13.8758,477.562,15.44,0.709998,0.0223459,111.641,15.1144,
2.25,5000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,7000,1000,382.821,36.32,372.316,31.9767,534.577,60.0224,1.31197,0.316232,112.03,14.0747,
2.25,7000,3000,392.571,15.7452,376.239,15.8073,416.257,14.7221,0.753615,0.0411293,111.627,16.0569,
2.25,7000,5000,386.085,12.5156,410.191,11.5655,446.681,13.956,0.733368,0.0277632,111.99,15.8997,
2.25,7000,7000,383.001,12.5487,389.018,11.6084,399.882,11.7154,0.787227,0.0284299,110.728,15.8299,
2.25,7000,9000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,1000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,3000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,5000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,7000,0,0,0,0,0,0,0,0,0,0,
2.25,9000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,1000,1000,375.525,10.2259,416.687,11.5401,511.046,13.0291,0.701358,0.0227055,133.263,17.1734,
2.75,1000,3000,394.958,5.52492,395.467,6.18168,500.743,7.66405,0.726215,0.0126864,133.733,16.4639,
2.75,1000,5000,423.706,5.13403,420.286,5.1789,455.428,4.89204,0.698567,0.00842588,136.454,16.8997,
2.75,1000,7000,400.369,5.27643,404.41,5.36735,391.437,4.60965,0.704452,0.00854015,137.483,17.2211,
2.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
2.75,3000,1000,386.307,26.5088,427.007,28.5705,393.005,33.5128,1.14051,0.279936,132.824,15.8017,
2.75,3000,3000,379.188,13.1177,405.136,13.4036,474.424,18.4787,0.737533,0.0360593,133.024,16.4275,
2.75,3000,5000,421.877,11.255,420.598,11.1673,438.062,13.5053,0.743446,0.0262489,137.026,17.0538,
2.75,3000,7000,377.254,10.6826,430.235,13.7493,412.669,11.1131,0.702439,0.0216288,136.231,16.742,
2.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
