energy,rho,z,px,spx,py,spy,pz,spz,dtheta,sdx,dy,sdy,dz,sdz,emean,eres,
0.75,1000,1000,430.413,12.5219,417.3,12.5372,494.374,15.9299,0.791554,0.0822544,1.13952,0.232924,1.01086,0.389008,9.41167,0.261681,
0.75,1000,3000,429.865,7.60477,436.416,7.96376,516.722,8.76789,0.867469,0.0590224,1.03049,0.100514,0.734091,0.0556786,9.6899,0.143703,
0.75,1000,5000,463.954,6.73877,457.897,6.91942,458.38,6.06033,0.928289,0.0581579,0.938682,0.0594019,0.746357,0.0409714,9.76834,0.115441,
0.75,1000,7000,319.264,8.09196,323.979,8.12539,375.462,7.39788,0.908926,0.0871601,0.886279,0.0828241,0.712285,0.0575745,10.6645,0.194667,
0.75,3000,1000,353.147,31.3181,442.081,43.3101,545.824,49.5821,2.38067,3.64161,2.68693,3.56177,1.43827,1.44202,8.34268,0.624086,
0.75,3000,3000,429.123,16.2875,399.744,17.0147,502.911,22.2769,1.45707,0.712292,0.839135,0.149171,1.01179,0.283159,9.42786,0.310897,
0.75,3000,5000,475.827,13.6318,474.607,13.8523,492.238,14.5838,0.729903,0.0720336,0.928035,0.139821,0.79535,0.0920899,9.57065,0.258358,
0.75,3000,7000,332.023,18.1981,290.223,13.0354,374.889,17.1321,0.994733,0.287674,0.882065,0.184976,1.00241,0.286151,10.6226,0.448792,
0.75,5000,1000,358.132,28.4389,342.466,26.9887,761.883,100.386,5.64501,2.82891,1.05225,0.440289,1.81233,2.19201,10.7385,0.801932,
0.75,5000,3000,379.247,16.0221,397.283,14.1954,518.932,24.4559,0.913947,0.166119,1.15252,0.339931,1.12905,0.423829,9.22451,0.297827,
0.75,5000,5000,397.827,13.7918,387.614,12.6448,539.484,17.5445,0.696545,0.0680747,1.06645,0.237612,0.868201,0.163512,9.71308,0.222876,
0.75,5000,7000,333.197,17.2318,352.166,19.5429,497.349,27.4924,1.66563,1.23384,1.86667,1.52847,2.00662,1.89998,10.5165,0.447325,
0.75,7000,1000,390.84,97.9898,319.748,92.0349,5036.1,4213.89,5.5184,5.31873,3.20231,4.57682,2.73459,2.25452,11.5833,2.74501,
0.75,7000,3000,346.275,25.0025,281.721,20.6184,562.492,46.9544,1.98398,2.07502,1.55264,1.23295,1.34792,1.26263,11.323,0.626557,
0.75,7000,5000,333.84,17.7057,322.586,17.3925,584.632,34.0284,0.915474,0.224905,1.3101,0.620719,0.764386,0.221534,11.2486,0.511615,
0.75,7000,7000,276.889,33.0104,268.352,32.4471,791.485,120.462,2.15062,3.78681,2.49289,3.02714,2.82468,3.10005,10.3742,0.924284,
1.25,1000,1000,367.861,10.5211,356.28,11.4765,462.553,14.8757,0.855702,0.10072,0.835251,0.0922621,0.944666,0.27372,11.5632,0.349866,
1.25,1000,3000,373.021,5.85228,367.443,5.78821,446.518,7.08551,0.897353,0.0657291,0.930024,0.0709974,0.580625,0.0349959,11.1257,0.163717,
1.25,1000,5000,400.138,5.64451,398.013,5.6291,407.727,4.9559,0.960197,0.0651169,0.983625,0.0685057,0.715324,0.0380454,11.3066,0.140726,
1.25,1000,7000,291.624,7.06335,275.245,6.65342,319.901,7.10327,0.992707,0.111401,0.958234,0.0976453,0.700496,0.0588682,11.8725,0.24786,
1.25,3000,1000,412.951,43.6195,384.13,33.0402,461.409,39.3777,1.39465,1.02274,1.51831,1.13759,1.18305,0.983837,10.7515,0.897694,
1.25,3000,3000,376.879,14.4028,394.593,19.0327,449.695,17.9056,0.815409,0.146379,0.632296,0.0742404,1.31757,0.590572,10.3756,0.340752,
1.25,3000,5000,413.471,16.3638,418.624,12.7813,413.16,10.7413,0.898724,0.125204,1.04275,0.213812,0.754515,0.0949496,11.3558,0.305773,
1.25,3000,7000,256.334,11.4448,256.863,13.8693,326.192,14.7814,2.16141,3.57607,1.06453,0.285697,1.23351,0.508283,12.1174,0.550446,
1.25,5000,1000,327.639,24.0275,341.864,29.9319,515.672,49.3348,1.50199,1.12911,1.00063,0.342548,0.942314,0.565648,11.3063,1.00151,
1.25,5000,3000,345.66,13.2222,340.908,12.5229,375.471,17.2667,0.659287,0.0740318,2.23567,2.10897,1.45221,0.916136,10.4744,0.345834,
1.25,5000,5000,371.129,11.0274,360.177,9.78801,462.915,15.1056,0.632766,0.0548799,1.12529,0.227627,0.77831,0.0968493,11.0491,0.268664,
1.25,5000,7000,290.301,14.5042,282.827,14.5997,407.861,27.8204,0.930493,0.213057,0.943221,0.223074,1.06585,0.337316,12.2508,0.49025,
1.25,7000,1000,264.31,43.3099,377.035,72.7255,1282.66,1002.22,6.15981,5.59441,2.38201,3.28274,3.32778,3.32762,12.302,1.81669,
1.25,7000,3000,285.204,27.9133,292.435,34.587,565.476,81.9275,1.77877,3.61061,2.03986,3.72845,1.28536,1.25595,10.8931,0.951151,
1.25,7000,5000,302.442,15.8108,277.249,15.1698,565.233,36.7824,1.28369,0.588258,2.17447,3.75819,1.10664,0.54809,11.5262,0.685565,
1.25,7000,7000,286.728,27.5648,291.926,28.4729,697.813,95.0865,5.69802,3.30779,1.26862,0.856782,1.89674,2.99551,11.4583,0.872751,
1.75,1000,1000,325.248,10.2346,325.074,10.9988,445.53,14.7954,1.12325,0.252848,1.6435,0.738631,0.94404,0.250178,11.9811,0.356023,
1.75,1000,3000,348.466,5.97434,344.568,5.80742,420.026,6.85687,1.10847,0.11737,1.01589,0.0945106,0.670467,0.0463944,12.3416,0.196855,
1.75,1000,5000,370.042,5.18929,372.972,5.16746,375.591,4.60077,0.986937,0.0691845,1.01971,0.0751379,0.731571,0.0383843,12.14,0.142157,
