energy,z,rho,px,spx,py,spy,pz,spz,dtheta,sdtheta,emean,eres,
0.75,1000,1000,677.082,27.0258,681.443,26.9958,674.298,23.6252,0.800571,0.0407566,24.6763,6.05558,
0.75,1000,3000,722.118,13.9325,691.605,14.2169,625.42,11.0714,0.749263,0.0168626,25.0706,6.1851,
0.75,1000,5000,501.834,14.8511,482.797,14.7382,500.617,12.605,0.703107,0.0207974,23.6628,6.58896,
0.75,1000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,1000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,1000,757.198,67.1453,644.96,63.136,902.028,85.6345,0.960317,0.159803,24.5034,5.76822,
0.75,3000,3000,644.722,25.2909,699.224,28.382,655.006,29.6341,0.767121,0.0381367,25.3087,6.18539,
0.75,3000,5000,479.036,27.7354,488.496,29.9747,537.967,32.9537,1.01873,0.135803,23.6457,6.65952,
0.75,3000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,3000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,1000,703.392,185.116,683.72,311.747,3197.72,3446.64,1.81303,1.63664,23.4362,5.55311,
0.75,5000,3000,483.561,40.8689,420.551,32.0997,606.268,95.0632,1.25102,0.30649,23.2472,6.22917,
0.75,5000,5000,434.455,85.176,443.611,51.8722,4383.46,4661.59,1.64211,1.07983,22.681,6.60131,
0.75,5000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,5000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,1000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,3000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,5000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,7000,9000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,1000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,3000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,5000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,7000,0,0,0,0,0,0,0,0,0,0,
0.75,9000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,1000,1000,640.257,26.9843,622.609,21.5907,675.043,22.1736,0.771232,0.0404288,33.7007,7.0817,
1.25,1000,3000,635.945,13.1204,636.036,12.0274,603.027,11.091,0.718522,0.0156511,34.1063,7.27765,
1.25,1000,5000,419.403,11.2434,415.659,11.3691,434.75,12.1128,0.799909,0.0307413,32.4917,7.51265,
1.25,1000,7000,0,0,0,0,0,0,0,0,0,0,
1.25,1000,9000,0,0,0,0,0,0,0,0,0,0,
1.25,3000,1000,608.446,54.4232,693.948,65.0245,784.408,83.5592,1.15029,0.31502,34.1051,6.8829,
1.25,3000,3000,592.207,23.5475,613.097,22.2669,607.651,24.2919,0.796173,0.0454445,34.5563,7.52658,
